Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
gpx-5;Q93204;Glutathione peroxidase;17,634;17,2971;17,4536;17,3615;16,4616;16,5456;16,6198;16,493;4,51735;0;0,906572;11,1913;+
pabp-2;Q93233;PolyA Binding Protein (Nuclear);14,6341;14,7255;14,988;15,2853;15,6643;15,362;15,4925;15,0442;1,30641;0,0338292;-0,48254;-2,45603;+
nkb-1;Q93235;Sodium/potassium-transporting ATPase subunit beta-1;17,3452;16,8108;16,7801;16,9481;17,2562;17,0909;16,757;16,9333;0,0822707;0,771056;-0,0383153;-0,227719;
C17G1,2;Q93240;Uncharacterized protein;15,2166;15,3335;15,0339;15,0886;13,8046;13,7983;13,7584;13,64;5,77446;0;1,41779;18,3629;+
ugt-23;Q93242;UDP-glucuronosyltransferase;16,1691;16,0827;15,9853;16,2081;16,1592;16,274;15,9131;15,8755;0,204688;0,534864;0,0558677;0,516196;
nas-37;Q93243;Zinc metalloproteinase nas-37;14,5581;14,7198;14,6962;14,9308;14,8556;14,7732;14,0423;14,255;0,533594;0,220999;0,244693;1,1532;
cysl-1;Q93244;Cysteine synthase 1;17,4713;17,442;17,4787;17,0544;16,9582;17,1421;17,2411;17,3281;0,732177;0,133652;0,194214;1,49604;
cab-1;Q93249;Protein cab-1;14,7445;14,8687;15,1151;14,9004;13,3157;13,7798;14,2311;13,652;2,89404;0,00184758;1,16255;5,68604;+
C23H4,3;Q93254;Uncharacterized protein;11,0585;11,0404;11,5415;10,8329;9,93678;9,75541;9,91015;9,87924;3,70177;0,00043038;1,24794;8,03411;+
cytb-5,1;Q93315;YTochrome B;16,2529;15,2072;15,3841;15,2256;15,0572;15,2908;15,2512;15,1831;0,599716;0,186078;0,32186;1,26928;
rpb-3;Q93338;RNA Polymerase II (B) subunit;13,4515;13,3842;13,4202;13,8356;12,9357;14,0728;13,4005;12,6466;0,336868;0,370802;0,258987;0,788532;
prp-4;Q93339;Yeast PRP (Splicing factor) related;14,4276;14,5174;14,0589;14,188;14,414;14,02;14,2536;14,6244;0,064413;0,813877;-0,0300446;-0,181224;
dhfr-1;Q93341;Putative dihydrofolate reductase;15,0148;14,1907;13,9425;14,527;13,0305;14,4469;14,6006;14,0429;0,405108;0,309506;0,38857;0,919184;
idhb-1;Q93353;Probable isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;17,1343;17,1299;16,95;16,8865;17,1045;17,2512;17,3119;17,3754;1,47802;0,0238021;-0,235565;-2,75063;+
gsr-1;Q93379;Glutathione reductase, mitochondrial;18,2019;18,0043;17,7662;17,7155;16,9597;17,5373;17,4149;17,4441;1,84082;0,0104089;0,58296;3,40387;+
C46F11,4;Q93382;Uncharacterized protein;13,3352;12,3021;11,721;12,808;13,0288;12,0954;12,1136;13,3624;0,0830095;0,769054;-0,108465;-0,229613;
D2005,3;Q93408;Uncharacterized protein D2005,3;16,7344;16,1041;16,0973;15,8341;16,553;16,5259;16,7087;16,777;1,176;0,0461191;-0,44868;-2,23636;+
CELE_D2005,4;Q93410;Uncharacterized protein;12,6509;11,7828;11,9985;11,8593;9,77846;9,68443;11,7689;8,30589;1,59666;0,0180969;2,18844;2,95908;+
drh-3;Q93413;Dicer Related Helicase;11,676;11,9221;10,8054;12,0697;13,1912;12,5919;12,3802;12,3998;1,62107;0,0172494;-1,0225;-3,00255;+
mrps-5;Q93425;Putative 28S ribosomal protein S5, mitochondrial;14,2735;14,2545;14,569;14,6116;15,0832;15,0525;15,2513;15,44;3,01339;0,00170277;-0,779577;-5,99397;+
rae-1;Q93454;mRNA export factor rae-1;15,9817;14,6926;15,0475;13,9463;14,5465;14,2362;14,5483;14,9316;0,336587;0,371021;0,351388;0,787984;
nubp-1;Q93459;Cytosolic Fe-S cluster assembly factor NUBP1 homolog;16,6177;16,8788;16,8316;16,1061;15,6963;16,0828;16,0179;15,7079;1,94019;0,00879752;0,73231;3,59198;+
romo-1;Q93511;(Reactive Oxygen species MOdulator) homolog;15,0014;14,9358;15,0359;14,7825;14,578;15,1331;14,5518;15,4928;3,51E-05;0,999879;-2,48E-05;-0,000105536;
CELE_F15D4,5;Q93513;Uncharacterized protein;11,0603;10,4928;10,6909;10,8025;12,182;12,0717;11,3081;12,747;2,21;0,004906;-1,3156;-4,12724;+
CELE_F20D1,3;Q93535;Uncharacterized protein;15,9555;15,6765;15,4061;15,3707;15,1097;14,8074;14,6784;15,4875;1,37753;0,0285138;0,581445;2,57724;+
CELE_F20D1,9;Q93540;Uncharacterized protein;15,9357;15,8005;15,6998;15,6686;15,6268;15,5613;15,3757;15,5532;1,65301;0,0162107;0,2469;3,05974;+
CELE_F20G2,2;Q93545;Uncharacterized protein;17,0343;16,84;16,9119;16,8468;16,2595;16,4026;16,2074;16,6904;2,34884;0,00365147;0,518304;4,41837;+
CELE_F20G2,3;Q93546;Uncharacterized protein;18,2125;16,4317;16,6758;15,3714;14,0892;12,9364;15,5048;16,3308;1,06596;0,0582132;1,95754;2,0528;
cup-2;Q93561;Derlin-1;15,0829;14,9081;15,4421;15,0847;15,5465;15,1306;15,7107;15,9755;1,15521;0,0482731;-0,461368;-2,20157;+
tli-1;Q93565;ToLlIp homolog;15,0936;14,7053;14,9195;14,4933;14,271;14,1032;13,932;14,3176;2,20687;0,00495716;0,646985;4,12082;+
CELE_F25H2,4;Q93568;Uncharacterized protein;16,3052;15,6122;15,7119;15,6298;14,0136;15,498;15,2259;15,1166;1,22977;0,0407151;0,851263;2,32658;+
rpa-0;Q93572;60S acidic ribosomal protein P0;21,0398;21,1243;21,1366;21,0933;21,0179;21,3182;21,1946;21,0228;0,20918;0,528244;-0,0398803;-0,525992;
tct-1;Q93573;Translationally-controlled tumor protein homolog;19,8513;19,5351;19,7707;18,8091;19,3791;19,646;19,497;19,4844;0,0140047;0,953993;-0,0100951;-0,0414691;
ndk-1;Q93576;Nucleoside diphosphate kinase;19,937;20,0889;19,9075;19,8482;20,4806;20,4989;20,4933;20,0445;1,90831;0,00940304;-0,433908;-3,53114;+
F26A3,7;Q93591;Uncharacterized protein F26A3,7;14,3828;14,606;14,5041;13,3827;13,0469;13,5602;13,731;14,1436;0,824636;0,106526;0,598447;1,65139;
ncbp-2;Q93594;Nuclear cap-binding protein subunit 2;14,9951;14,9749;14,916;15,5157;15,0662;15,1227;15,0883;15,3063;0,112437;0,702031;-0,0454326;-0,303298;
CELE_F26A3,1;Q93595;Uncharacterized protein;11,1545;11,9121;12,7581;12,794;12,5421;13,2693;12,2904;12,1031;0,368261;0,340157;-0,396587;-0,849306;
F27D4,1;Q93615;Probable electron transfer flavoprotein subunit alpha, mitochondrial;20,7107;20,6163;20,67;20,604;19,5767;20,3505;20,1949;19,9928;1,98075;0,00797197;0,621542;3,67008;+
F27D4,4;Q93618;Zinc finger CCCH domain-containing protein 15 homolog;16,0194;16,0263;16,0923;15,8473;16,0621;16,0184;15,4899;16,1613;0,151933;0,624357;0,06339;0,397431;
bckd-1b;Q93619;Branched Chain Keto acid Dehydrogenase e1 (E1) subunit;16,1958;15,5145;15,2126;15,391;15,8016;15,5653;15,8376;15,9126;0,385511;0,325754;-0,200787;-0,882203;
hpo-34;Q93637;Uncharacterized protein;17,5511;17,3807;17,435;17,1879;17,622;17,5163;17,6423;17,6521;1,43576;0,0255102;-0,219504;-2,67739;+
sac-1;Q93641;SAC1 PIP phosphatase (Yeast Suppressor of ACtin) homolog;14,5219;14,0842;13,7358;13,542;13,6135;14,3478;14,3266;14,33;0,269535;0,447701;-0,183517;-0,653584;
gst-24;Q93694;Glutathione S-Transferase;17,0882;16,9175;17,0389;16,9036;19,5857;19,1405;19,2966;19,4697;6,25721;0;-2,38612;-22,1535;+
gst-15;Q93697;Glutathione S-Transferase;13,135;13,1038;12,747;12,4876;12,0342;12,9064;13,6982;10,6485;0,350111;0,357544;0,546523;0,814319;
gst-16;Q93698;Glutathione S-Transferase;13,6152;12,9919;13,3286;12,9498;12,6886;12,0292;12,064;9,20508;1,13709;0,0498331;1,72463;2,17131;+
tatn-1;Q93703;Tyrosine AminoTraNsferase;12,3188;11,8231;12,0518;12,5908;12,8863;14,6031;12,4949;12,8983;1,06696;0,0579949;-1,02452;-2,05445;
mfap-1;Q93712;Microfibrillar-associated protein 1;12,9474;12,9977;12,4289;12,695;12,9233;13,1124;12,9763;14,2455;0,801846;0,112631;-0,547153;-1,61325;
idha-1;Q93714;Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial;18,9801;18,84;18,9805;18,599;18,4708;18,8869;18,7402;18,7155;0,54641;0,213403;0,146535;1,17589;
cfim-1;Q93716;Cleavage Factor IM (CFIm) homolog;15,03;15,1094;15,38;15,3121;15,2373;14,6534;14,8046;14,5546;1,21493;0,042503;0,395397;2,30164;+
ned-8;Q93725;NEDD8;16,8221;16,5731;17,0084;16,712;16,0073;15,8522;15,8578;16,0189;3,76004;0,000453333;0,844853;8,23026;+
hpo-35;Q93726;Uncharacterized protein;12,7469;11,558;11,7305;11,6907;12,1223;13,4025;13,2001;14,1412;1,37582;0,028636;-1,285;-2,57432;+
scl-11;Q93746;SCP-Like extracellular protein;18,1826;18,1378;18,2473;18,1855;9,9557;9,93785;9,96997;9,97421;13,3874;0;8,22889;343,646;+
swan-1;Q93758;Seven WD repeats, AN11 family;13,5678;14,07;13,8953;14,6066;14,2455;13,3769;13,9126;14,5241;0,0209007;0,933725;0,020185;0,0614273;
swan-2;Q93759;Seven WD repeats, AN11 family;10,4773;10,3833;10,6402;11,7038;13,064;12,5236;12,4402;12,3481;2,69289;0,00220308;-1,79281;-5,19319;+
F53C11,3;Q93761;Uncharacterized oxidoreductase F53C11,3;16,4707;16,2589;16,2604;16,1034;15,6256;15,5871;15,7562;15,6366;3,51273;0,000602541;0,621979;7,42477;+
CELE_F53H4,2;Q93778;Uncharacterized protein;17,0861;16,822;16,4666;16,7326;16,8457;16,6996;16,392;17,1883;0,0072751;0,976358;-0,0045352;-0,0217038;
CELE_F54E4,3;Q93786;Uncharacterized protein;14,3694;13,1523;13,2964;14,2763;12,7417;12,6087;13,5001;13,584;0,814736;0,109182;0,664937;1,63483;
lipl-1;Q93789;Lipase;14,6316;14,0204;14,2952;14,3596;12,1762;12,2516;12,6097;12,0696;4,681;0;2,04993;11,946;+
hpo-31;Q93795;Uncharacterized protein;13,427;12,8702;13,1957;12,8294;13,6391;13,2599;13,3149;13,409;1,02026;0,064972;-0,325155;-1,97683;
nrf-5;Q93796;Nose resistant to fluoxetine protein 5;15,364;14,8592;14,9039;14,8907;14,5074;15,4265;15,269;14,818;0,00106567;0,996341;-0,000775099;-0,00320171;
ttr-31;Q93805;TransThyretin-Related family domain;13,988;14,6999;14,8114;14,6153;14,8805;14,5971;14,3124;15,1868;0,352391;0,354805;-0,215533;-0,818736;
CELE_F59C6,5;Q93831;Uncharacterized protein;19,0154;18,8935;18,9826;18,8221;18,6386;18,4214;18,55;18,5722;3,04037;0,00155698;0,38285;6,06526;+
acox-1,6;Q93839;Acyl-coenzyme A oxidase;12,8952;13,14;13,2545;13,2219;12,3177;12,746;12,743;12,9343;1,55237;0,020155;0,44265;2,88075;+
acl-1;Q93841;Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-1;14,5082;14,2948;14,3333;14,8044;14,9606;14,9715;15,4104;15,1946;2,20498;0,0049882;-0,649095;-4,11694;+
ent-2;Q93871;Equilibrative Nucleoside Transporter;15,6801;15,8675;15,8603;16,1594;15,947;15,9662;15,7972;16,5736;0,396777;0,315682;-0,179178;-0,903511;
gas-1;Q93873;Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;17,7916;17,4606;17,2786;16,5109;17,1087;17,3518;17,1985;16,539;0,268034;0,448986;0,210955;0,650493;
rab-14;Q93874;RAB family;14,7153;14,8321;14,3824;14,4989;14,207;13,8133;14,6781;14,1996;0,958316;0,0755825;0,382643;1,87395;
erv-46;Q93878;Yeast ERV (ER to Golgi transport Vesicle protein) homolog;10,8766;10,6396;10,6768;10,7226;13,7822;13,544;13,0255;13,3292;5,40869;0;-2,69133;-15,9178;+
srf-3;Q93890;UDP-galactose/UDP-N-acetylglucosamine transporter srf-3;13,7864;13,5908;13,6565;13,521;13,2059;14,9224;14,1838;12,9926;0,159597;0,608765;-0,187482;-0,415144;
mct-3;Q93896;MonoCarboxylate Transporter family;15,4759;15,4752;15,7655;15,2964;15,8258;15,9151;15,7863;15,8117;1,77449;0,0117921;-0,331472;-3,2807;+
prx-14;Q93930;PeRoXisome assembly factor;15,3171;15,0701;15,233;15,2029;15,4647;14,9257;14,9146;15,5225;0,00215397;0,992373;-0,00112271;-0,00646335;
nuaf-3;Q93931;NADH:Ubiquinone oxidoreductase Assembly Factor;12,6227;12,8203;12,4938;13,0842;13,7607;14,2296;14,0909;14,0136;3,64121;0,00041129;-1,26846;-7,83449;+
sdz-27;Q93932;SKN-1 Dependent Zygotic transcript;13,3387;13,6088;13,8959;13,8707;14,2623;13,9262;14,0566;14,2993;1,56688;0,019651;-0,457605;-2,90633;+
CELE_R07H5,8;Q93934;Uncharacterized protein;18,3548;17,7581;17,8307;18,0668;18,1112;18,206;18,3673;18,2659;0,806798;0,111568;-0,235013;-1,62154;
CELE_T01H8,2;Q93968;Uncharacterized protein;14,5174;14,3381;14,3765;14,0299;14,3316;13,369;13,4752;13,968;1,12432;0,0512006;0,529505;2,14999;
CELE_T08G11,1;Q94010;Uncharacterized protein;16,4836;16,3081;16,4758;16,0169;16,374;16,3086;15,8791;16,1566;0,401755;0,311966;0,141507;0,912884;
CELE_T08G11,4;Q94013;Uncharacterized protein;13,4684;13,0485;13,6656;12,657;13,2546;13,3169;12,9837;13,5578;0,0987389;0,732217;-0,0683911;-0,269412;
T13F2,2;Q94045;Putative RNA polymerase II transcriptional coactivator;13,8826;14,9992;13,976;14,3388;15,2102;14,4683;13,7648;15,4796;0,413061;0,303647;-0,43161;-0,934078;
cav-1;Q94051;Caveolin-1;16,8529;16,4031;16,9126;16,6561;15,325;15,0765;14,9627;15,0119;4,58385;0;1,61213;11,4925;+
msp-78;Q94053;Major sperm protein 78;17,0897;16,7679;16,8875;17,1516;17,8699;17,3251;17,3186;17,8621;1,85638;0,0101319;-0,619772;-3,43303;+
agxt-1;Q94055;Serine--pyruvate aminotransferase;17,3493;17,1479;17,1584;16,9585;17,216;16,5587;16,8832;17,0043;0,733079;0,133435;0,237947;1,49757;
rab-10;Q94148;Ras-related protein Rab-10;16,2061;15,9928;16,0019;16,0539;16,5832;15,7122;15,9312;16,4332;0,187999;0,559399;-0,101291;-0,479388;
C10G8,4;Q94162;Uncharacterized protein;19,0453;18,7823;18,711;18,4692;18,3044;18,6893;18,2772;18,203;1,26168;0,0377438;0,383438;2,38035;+
sup-36;Q94207;SUPpressor;15,0829;14,9696;15,0194;14,8079;14,8673;13,8578;14,0578;14,8661;1,06464;0,0583343;0,557685;2,0506;
lec-11;Q94215;Galectin;13,0628;12,9793;13,4234;13,915;14,1106;14,3744;14,7414;14,3714;2,25874;0,00439662;-1,05432;-4,22816;+
dnj-11;Q94216;DNaJ domain (Prokaryotic heat shock protein);16,6001;14,3088;14,4616;14,7203;14,9326;15,4276;15,5312;14,8892;0,114838;0,696923;-0,172455;-0,309169;
odr-8;Q94218;Ufm1-specific protease;13,8783;13,7885;13,9248;14,0761;14,333;14,1555;14,0609;13,9276;0,997751;0,0686119;-0,20231;-1,93945;
plp-1;Q94230;Pur alpha Like Protein;17,3046;17,2294;17,2168;16,9835;17,8295;17,7721;17,5449;17,0701;1,02892;0,063711;-0,370575;-1,99123;
hmg-5;Q94234;HMG;16,215;16,0057;16,0986;15,7313;15,3761;15,7531;15,5803;16,5267;0,316951;0,392516;0,203545;0,749314;
sec-22;Q94241;Yeast SEC homolog;14,3431;14,0436;14,1879;14,3654;14,8875;14,7703;14,6812;14,8473;3,16399;0,00107345;-0,561583;-6,40028;+
gfi-1;Q94246;GEI-4 (Four) Interacting protein;19,5205;19,6885;19,5722;19,5898;19,6381;20,0822;20,1905;20,0785;1,71593;0,0137007;-0,404557;-3,17347;+
CELE_K04A8,1;Q94259;Uncharacterized protein;12,9924;12,9577;12,6917;13,4989;13,2719;13,2578;13,5361;13,592;1,03362;0,0630867;-0,37926;-1,99903;
cif-1;Q94261;COP9/Signalosome and eIF3 complex-shared subunit 1;16,5993;16,5182;16,5453;16,4535;16,3946;16,7637;16,6821;16,2893;0,00960108;0,967752;-0,00334978;-0,0285685;
miro-1;Q94263;Mitochondrial Rho GTPase 1;14,0695;13,3068;13,2149;12,7383;14,4018;14,4384;14,4318;15,1244;2,0874;0,0062433;-1,26673;-3,87932;+
CELE_K10C2,1;Q94269;Carboxypeptidase;16,6207;16,683;16,7603;16,6657;17,0491;17,3032;17,1861;17,2008;3,81206;0,000474419;-0,50235;-8,40884;+
asp-14;Q94271;ASpartyl Protease;16,9794;16,8191;16,4995;16,7381;16,4217;16,4622;16,481;16,9232;0,566335;0,202495;0,187023;1,21098;
fah-1;Q94272;FumarylAcetoacetate Hydrolase;18,6297;18,4471;18,4809;18,2194;18,4091;18,3869;18,564;17,8198;0,348824;0,358529;0,149317;0,811823;
rpl-11,1;Q94300;60S ribosomal protein L11-1;18,7132;18,7027;18,6925;18,0622;19,9233;20,2523;19,9825;19,8734;3,71857;0,000439655;-1,46523;-8,09026;+
nduf-7;Q94360;Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;17,4936;17,3795;17,3811;17,2521;17,1855;18,2403;18,3178;17,8718;1,03655;0,06248;-0,527265;-2,0039;
gei-17;Q94361;E3 SUMO-protein ligase gei-17;12,1995;12,101;11,4298;11,9114;13,5186;12,8888;12,593;12,7645;2,09654;0,00612335;-1,03084;-3,89753;+
CELE_ZK265,3;Q94401;Uncharacterized protein;10,8357;10,6065;10,7862;11,1833;9,97823;9,46121;10,7217;9,80499;1,5909;0,0183018;0,861412;2,94886;+
ZK265,6;Q94402;Nucleolar protein 16;13,7931;14,2476;12,992;13,8021;14,886;15,1915;15,3176;15,3561;2,71246;0,00218407;-1,47911;-5,23977;+
CELE_ZK858,7;Q94416;Uncharacterized protein;12,7093;12,4588;12,8205;12,9095;13,603;13,2995;13,2324;13,5901;2,67505;0,00217409;-0,70673;-5,15097;+
clec-91;Q94417;C-type lectin domain-containing protein 91;15,9656;15,2337;15,2783;15,3244;14,8178;14,6716;14,5134;14,7854;2,17372;0,005435;0,75346;4,05303;+
rab-3;"Q94986;Q95QV3";"Ras-related protein Rab-3;RAB family";14,4075;14,3411;14,1507;14,3461;14,3148;14,1116;14,3141;13,5202;0,592416;0,189991;0,246172;1,25657;
pas-4;Q95005;Proteasome subunit alpha type-7;19,048;18,8069;18,8786;18,7006;18,4759;18,7184;19,2306;18,899;0,0555232;0,836851;0,0275521;0,157539;
pas-5;Q95008;Proteasome subunit alpha type-5;17,6503;17,5042;17,4524;17,3975;17,2693;17,1104;16,97;17,1124;2,48498;0,00284436;0,385557;4,71539;+
ubc-9;Q95017;SUMO-conjugating enzyme UBC9;16,7792;16,7142;16,716;16,7267;16,3417;16,3704;16,3946;16,6787;1,94948;0,00856211;0,287667;3,60981;+
cps-6;Q95NM6;Endonuclease G, mitochondrial;15,0964;14,9986;14,8381;14,9374;15,4211;15,1366;15,2166;15,5548;1,79843;0,0113466;-0,364637;-3,32495;+
ooc-5;Q95NU5;Torsin-like protein;12,8958;13,1293;12,9686;12,5663;14,0178;13,1727;13,4955;14,5378;1,53048;0,0210944;-0,915937;-2,84226;+
tftc-3;Q95PV7;Transcription Factor ThreeC subunit (GTF3C homolog);10,9672;10,689;10,6881;10,7587;12,3885;10,9172;11,6723;10,4264;0,629833;0,172663;-0,575333;-1,32142;
nck-1;Q95PW9;NCK (Non-Catalytic region of tyrosine Kinase) adaptor protein family;16,0681;15,7308;15,6552;15,9335;15,443;15,6;15,4364;15,5611;1,76904;0,0118775;0,336782;3,27066;+
tcer-1;"Q95PX7;Q95PX8";TransCription Elongation Regulator homolog;15,9823;15,8065;15,7653;15,9262;15,4346;15,4654;15,4098;15,6102;2,92542;0,00187573;0,390033;5,76585;+
cpsf-3;Q95PY8;Cleavage and Polyadenylation Specificity Factor;12,7344;12,6986;13,0688;12,804;12,8303;12,8658;11,6105;13,0505;0,290843;0,421801;0,237177;0,69704;
kdp-1;Q95PZ1;KASH (Klarsicht/ANC-1/Syne Homology) Domain Protein;17,2036;16,8585;16,7628;16,6004;16,5353;16,8709;16,7876;16,6204;0,463839;0,265915;0,152782;1,02779;
xpb-1;Q95PZ4;XPB (Xeroderma Pigmentosum complementation group B) related;13,22;13,36;12,8345;13,5651;14,5148;13,4484;13,967;13,5835;1,1714;0,0466792;-0,633475;-2,22865;+
CELE_Y66D12A,19;Q95PZ6;Uncharacterized protein;13,056;12,3611;12,3639;13,6905;12,837;14,1868;13,7935;13,1692;0,691465;0,148578;-0,628748;-1,42699;
CELE_Y66D12A,9;Q95PZ7;Uncharacterized protein;15,9159;15,7062;15,7207;15,8267;16,3313;16,8891;16,9778;16,8468;3,1249;0,00112043;-0,968882;-6,29284;+
mrps-7;Q95Q11;28S ribosomal protein S7, mitochondrial;14,9468;14,7927;15,1333;14,7352;14,2817;14,7536;14,1398;14,7474;1,22436;0,0413898;0,421368;2,31749;+
let-49;Q95Q17;Mediator of RNA polymerase II transcription subunit 7;12,3229;12,4718;11,9493;12,4911;12,0746;12,2061;10,9292;12,6296;0,398885;0,314224;0,348904;0,907483;
Y53F4B,39;Q95Q18;Beta-lactamase-like protein 2 homolog;15,894;15,0444;15,7923;15,3781;15,4036;15,1918;14,9813;15,056;0,85571;0,0986342;0,36902;1,70327;
riok-2;Q95Q34;Serine/threonine-protein kinase RIO2;12,9752;13,4703;12,3731;12,9327;12,7839;13,1746;13,1989;13,4531;0,350703;0,356888;-0,214818;-0,815466;
C37H5,13;Q95Q68;Uncharacterized protein;14,8189;14,8245;14,9079;14,8576;13,8972;13,7193;13,9792;13,669;5,01621;0;1,03604;13,6423;+
let-363;Q95Q95;Target of rapamycin homolog;12,7488;12,01;12,3328;12,3732;13,0908;12,883;12,9919;13,0772;2,1789;0,00544687;-0,644533;-4,06358;+
pat-12;Q95QA6;Protein pat-12;17,4006;17,2089;17,2101;17,1171;16,9146;17,0336;17,1992;16,9753;1,26268;0,0377056;0,20348;2,38204;+
CELE_T13H5,8;Q95QB1;Uncharacterized protein;13,6979;12,9632;13,0633;13,048;12,6547;14,2347;14,0315;12,8405;0,226989;0,503442;-0,24726;-0,564396;
CELE_R02F2,9;Q95QC2;Uncharacterized protein;15,6968;15,3645;15,3977;15,2916;15,5283;14,9937;15,1798;15,6833;0,199218;0,542855;0,0913754;0,504203;
tmem-135;Q95QD1;Transmembrane protein 135 homolog;11,9798;12,0175;12,0169;12,226;10,5103;11,9939;12,0571;11,4765;0,747245;0,128668;0,550617;1,52148;
lin-54;Q95QD7;Protein lin-54;11,5612;12,2749;11,5964;12,6056;15,458;16,5045;16,5068;17,5923;3,95054;0,0004;-4,50587;-8,90067;+
exos-8;Q95QG7;EXOSome (Multiexonuclease complex) component;11,0392;10,741;10,7662;10,7631;12,2499;12,3003;9,6356;13,5152;0,639587;0,168925;-1,09788;-1,33822;
fcp-1;Q95QG8;FCP1 (Yeast TFIIF-interacting CTD phosphatase subunit) homolog;16,6061;16,0569;16,77;16,8469;16,5093;16,7788;14,6267;16,5416;0,373701;0,335792;0,455893;0,859716;
CELE_F32H2,10;Q95QH1;Uncharacterized protein;11,9751;12,4185;11,9182;11,0842;14,8261;14,0558;14,382;13,669;3,17226;0,00107955;-2,38422;-6,42319;+
CELE_F32A5,8;Q95QH4;Uncharacterized protein;14,948;14,7861;14,7199;14,9785;14,6989;15,067;14,9762;14,7671;0,0638932;0,815075;-0,0191898;-0,17985;
CELE_F30F8,9;Q95QI1;Uncharacterized protein;14,6083;14,9224;14,568;14,3416;13,7061;14,4292;14,8357;14,5403;0,377492;0,332522;0,23226;0,866951;
CELE_F26F4,12;Q95QI6;Uncharacterized protein;14,344;14,2957;14,088;14,5497;15,113;14,0581;14,1482;14,6925;0,289422;0,423206;-0,183618;-0,694165;
CELE_F13H8,11;Q95QL1;Uncharacterized protein;15,4562;15,3929;15,495;15,3581;13,3247;13,6644;13,5709;13,5583;6,47832;0;1,89599;24,1355;+
mrpl-13;Q95QL2;Mitochondrial Ribosomal Protein, Large;13,6905;12,946;12,796;13,0752;13,5927;14,0568;14,323;14,1597;1,94824;0,00855785;-0,906127;-3,60742;+
CELE_F11A10,7;Q95QL3;Uncharacterized protein;13,8041;13,939;13,7996;13,7601;14,8043;14,393;14,5805;14,8926;3,39345;0,00088595;-0,841865;-7,06046;+
CELE_F01F1,15;Q95QN1;Uncharacterized protein;15,7449;15,6055;15,2523;16,2732;15,0835;15,5779;15,4584;15,606;0,548887;0,212397;0,28754;1,18027;
ddx-23;Q95QN2;DEAD boX helicase homolog;14,0295;14,7148;13,6039;14,1441;14,7833;14,3104;14,5083;14,905;0,972892;0,0728405;-0,503647;-1,89816;
brap-2;Q95QN6;BRCA1-associated protein homolog 2;11,0654;10,6351;10,7049;10,5987;10,429;10,8156;9,56145;0;0,549148;0,212248;3,04951;1,18073;
atic-1;Q95QQ4;5-Aminoimidazole-4-carboxamide ribonucleotide formylTransferase/IMP Cyclohydrolase homolog;16,6363;16,4916;16,6237;16,5561;15,5671;15,6728;15,5592;15,6076;6,35709;0;0,975265;23,0283;+
C44B7,2;Q95QR5;Uncharacterized protein;14,0156;13,2631;13,8001;13,0411;13,6503;13,3495;13,5171;13,9088;0,110523;0,706213;-0,0764377;-0,298605;
C35C5,8;Q95QS2;Uncharacterized protein;12,3926;12,0603;11,7291;11,2577;13,8135;12,5564;14,452;12,5536;1,50019;0,0225487;-1,48397;-2,78924;+
mrps-26;Q95QS3;Mitochondrial Ribosomal Protein, Small;15,9865;15,5917;15,4855;15,3194;15,4882;15,7855;15,3479;14,8293;0,422138;0,296047;0,233022;0,951002;
tag-321;Q95QS6;Uncharacterized protein;11,0342;10,6369;10,7316;10,7827;14,3012;13,5081;13,7925;14,1882;5,36523;0;-3,15119;-15,6491;+
C27F2,10;Q95QU0;PCI domain-containing protein 2 homolog;12,8739;11,4198;12,0295;13,8912;10,3686;11,3731;11,3964;11,9623;1,0509;0,0601958;1,27851;2,02774;
C27F2,9;Q95QU1;Uncharacterized protein;12,5584;12,3747;12,5729;12,6175;12,5494;13,6594;14,3716;13,8687;1,49804;0,0226919;-1,08142;-2,78549;+
tiar-1;"Q95QV7;Q95QV8";TIA-1/TIAL RNA binding protein homolog;15,5929;15,4297;15,7502;15,9862;16,069;15,6506;15,6326;15,909;0,338166;0,369927;-0,125527;-0,79107;
B0041,8;Q95R19;Uncharacterized protein;15,0088;14,3995;14,277;15,355;14,3244;14,5034;14,9661;15,246;9,54E-05;0,999803;9,49E-05;0,000286827;
C13B7,6;Q95X12;Uncharacterized protein;13,8771;13,8239;13,7341;13,3406;14,4468;14,0697;13,7272;14,4584;1,19303;0,0447676;-0,481625;-2,26488;+
C35E7,11;Q95X36;Uncharacterized protein;11,267;13,3715;12,1862;13,0899;13,499;13,1012;9,878;13,5005;0,00538283;0,981704;-0,0160658;-0,0160929;
mrpl-9;Q95X39;Mitochondrial Ribosomal Protein, Large;13,7476;14,0248;13,8988;14,1666;14,6955;14,4438;14,6353;14,5212;2,94469;0,00178734;-0,614487;-5,81524;+
